parameter_id,parameter_name,material_or_system,value,status,unit,source_title,source_url_or_doi,evidence_type,notes
P001,effective_thermal_conductivity_range,Li2TiO3 pebble bed,"0.83 to 0.96",extracted,W/m/K,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Stagnant helium at atmospheric pressure; temperature increases from 20 to 400 degC; uncertainty around 5.5% at 95% confidence."
P002,effective_thermal_conductivity_range,Li4SiO4 pebble bed,"0.54 to 0.61",extracted,W/m/K,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Stagnant helium at atmospheric pressure; temperature increases from 20 to 400 degC; uncertainty around 5.5% at 95% confidence."
P003,pebble_diameter_range,Li2TiO3 pebble bed,"0.95 to 1.60",extracted,mm,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Table 1 property range for randomly selected pebbles."
P004,pebble_diameter_range,Li4SiO4 pebble bed,"1.05 to 2.15",extracted,mm,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Table 1 property range for randomly selected pebbles."
P005,packing_factor,Li2TiO3 pebble bed,0.646,extracted,dimensionless,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Original text reports 64.6% packing factor."
P006,packing_factor,Li4SiO4 pebble bed,0.642,extracted,dimensionless,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Original text reports 64.2% packing factor."
P007,relative_density,Li2TiO3 pebbles,86,extracted,percent_TD,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Table 1 relative density."
P008,relative_density,Li4SiO4 pebbles,88,extracted,percent_TD,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Table 1 relative density."
P009,test_section_inner_diameter,hot-wire pebble-bed platform,63,extracted,mm,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Inner diameter of cylindrical container."
P010,test_section_bed_length,hot-wire pebble-bed platform,300,extracted,mm,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Length of the pebble bed in the test section."
P011,helium_loop_pressure_range,pebble-bed thermal-conductivity platform,"0.1 to 2",extracted,MPa,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Helium loop design capability; actual Li2TiO3/Li4SiO4 result above is stagnant helium at atmospheric pressure."
P012,helium_loop_temperature_range,pebble-bed thermal-conductivity platform,"RT to 500",extracted,degC,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Helium loop design capability."
P013,expanded_uncertainty_keff,Li2TiO3/Li4SiO4/glass pebble-bed hot-wire tests,5.5,extracted,percent,Experimental measurements for the effective thermal conductivity of pebble beds with uncertainty analysis,https://www.sciencedirect.com/science/article/abs/pii/S0920379620302556,experimental,"Around 5.5% at confidence level of 95%."
P014,li2tio3_hotwire_diameter,Li2TiO3 pebble bed,"1 ± 0.15",extracted,mm,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental,"Abstract/conclusion report about 1 mm pebbles with +/-0.15 mm diameter."
P015,li2tio3_hotwire_packing_fraction,Li2TiO3 pebble bed,0.63,extracted,dimensionless,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental,"Approximately 63% packing fraction."
P016,li2tio3_hotwire_temperature_range,Li2TiO3-He pebble bed,"45 to 800",extracted,degC,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental,"Applicable range for empirical k and alpha equations."
P017,li2tio3_hotwire_pressure_range,Li2TiO3-He pebble bed,"0.105 to 0.4",extracted,MPa,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental,"Stagnant helium gas environment."
P018,li2tio3_keff_polynomial_0105MPa,Li2TiO3-He pebble bed,"k=1.9879e-7*T_C^2 + 1.7859e-4*T_C + 0.9922",extracted,W/m/K,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental_fit,"T_C in degC; valid 45 to 800 degC; P=0.105 MPa."
P019,li2tio3_keff_polynomial_02MPa,Li2TiO3-He pebble bed,"k=9.6781e-8*T_C^2 + 2.7232e-4*T_C + 1.0192",extracted,W/m/K,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental_fit,"T_C in degC; valid 45 to 800 degC; P=0.2 MPa."
P020,li2tio3_keff_polynomial_03MPa,Li2TiO3-He pebble bed,"k=1.4332e-7*T_C^2 + 2.5651e-4*T_C + 1.0426",extracted,W/m/K,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental_fit,"T_C in degC; valid 45 to 800 degC; P=0.3 MPa."
