类别,物理量或方程,符号或关系,文献参数编号,采用值或关系,OpenFOAM位置,Python实现,在神经网络中的作用,说明
球床结构,颗粒直径,d_p,P048,1 mm,cht_smoke_metadata.json::source_particle_diameter_mm,code/hccb_p418_source_contract.py,定义固定网格的长度尺度,三角化后的颗粒体积另行计算
球床结构,源球床目标孔隙率,epsilon_target,P049,0.397,cht_smoke_metadata.json::source_target_porosity,code/hccb_p418_source_contract.py,说明堆积来源,正式网格实际孔隙率0.3867913是几何计算结果
球床结构,初始大球床尺寸,L_large,P050,25dp x 25dp x 10dp,data/apd006_hccb_source_sequence_target_packings/*/summary.json,code/build_hccb_source_sequence_lammps_packing.py,定义颗粒排列的生成母域,先生成大球床再截取文献计算区域
球床结构,文献截取区域尺寸,L_crop,P390,"12.5dp x 12.5dp x 10dp; inlet/outlet extensions 10dp",data/apd006_hccb_source_sequence_target_packings/*/summary.json,code/check_hccb_source_sequence_lammps_packing.py,定义正式颗粒排列来源区域,当前精细局部域在该区域内再次截取
网格处理,颗粒网格直径,d_mesh,P404,0.99 d_p,runs/hccb_dense_snappy_g2_nativezone_r2/case_manifest.json::meshing_particle_diameter_m,code/check_hccb_source_sequence_lammps_packing.py,保持颗粒物理直径与网格处理相互区分,文献规定网格前直径缩小1%以消除点接触
球床结构,靠壁截取和横向边界,wall-adjacent crop,P423,one wall-adjacent and laterally centred crop,data/apd006_hccb_source_sequence_target_packings/*/summary.json,code/check_hccb_source_sequence_lammps_packing.py,定义颗粒排列相对冷却壁的位置,冷却壁为xlo面其余横向面为对称面
运行工况,入口速度—入口温度—体积发热率矩阵,"u_in,T_in,q'''",P418,"0.05--0.25 m/s; 300--900 K; 4.85--8.85 MW/m3",0/fluid/U;0/fluid/T;constant/solid/fvModels,code/build_hccb_dense_cht_p418_matrix.py,稳态网络的三个工况输入以及瞬态源/目标工况输入,完整5x4x3共60组
边界条件,冷却壁温度,T_wall,P425,635 K,0/fluid/T::coolingWall;0/solid/T::coolingWall,code/hccb_p418_regional_cht_adapter.py,物理边界输入,流体和固体冷却壁使用同一温度
边界条件,出口绝对压力,p_out,P426,0.12 MPa,0/fluid/p;0/fluid/p_rgh,code/hccb_p418_regional_cht_adapter.py,物理边界输入,密度和导热系数使用绝对压力
边界条件,计算域与边界类型,"constant-temperature wall; symmetry; inlet; outlet",P427,"12.5dp x 12.5dp x 10dp source domain; current local crop uses the reported boundary families",boundary files,code/hccb_p418_regional_cht_adapter.py,边界类别和区域图边类型,当前精细局部域不是原文完整尺寸
氦气物性,密度,rho_f,P389,rho_f=480.19*p_MPa/T_K,constant/fluid/physicalProperties,code/hccb_source_backed_thermophysical.py,质量方程和流体储热项,压力输入为绝对Pa后在程序中转换为MPa
